Country,Lat,Long
Canada,56.130366,-106.346771
East Timor,-8.874217,125.727539
Sao Tome and Principe,0.18636,6.613080999999999
Turkmenistan,38.969719,59.556278
Bosnia and Herzegovina / S.F.R.,43.915886,17.679076
Montenegro,42.708678,19.37439
Lithuania,55.169438,23.881275
Cambodia,12.565679,104.990963
Saint Kitts and Nevis,17.357822,-62.782998
Ethiopia,9.145000000000001,40.489673
The Gambia,13.443182,-15.310139
Swaziland,-26.522503,31.465866
Bolivarian Republic of Venezuela,6.42375,-66.58973
Belize,17.189877,-88.49765
Argentina,-38.416097,-63.61667199999999
Bolivia,-16.290154,-63.58865299999999
Cameroon,7.369721999999999,12.354722
Burkina Faso,12.238333,-1.561593
Czech Republic / Czechoslovakia,50.1440454,14.0994487
Ghana,7.946527,-1.023194
Saudi Arabia,23.885942,45.079162
Japan,36.204824,138.252924
Cape Verde,16.5388,-23.0418
Slovenia,46.151241,14.995463
Guatemala,15.783471,-90.23075899999999
Bosnia and Herzegovina,43.915886,17.679076
Guinea,9.945587,-9.696645
Russian Federation,61.52401,105.318756
Jordan,30.585164,36.238414
Dominica,15.414999,-61.37097600000001
Australia,-25.274398,133.775136
Liberia,6.428055,-9.429499000000002
Maldives,3.202778,73.22068
Paraguay,-23.442503,-58.443832
Pakistan,30.375321,69.34511599999999
Oman,21.4735329,55.975413
Tanzania,-6.369028,34.888822
Cabo Verde,16.5388,-23.0418
Gabon,-0.803689,11.609444
Monaco,43.73841760000001,7.424615799999999
England,52.3555177,-1.1743197
New Zealand,-40.900557,174.885971
Yemen,15.552727,48.516388
Kyrgyzstan,41.20438,74.766098
Jamaica,18.109581,-77.297508
Albania,41.153332,20.168331
Samoa,-13.759029,-172.104629
Macau,22.198745,113.543873
Equatorial Guinea,1.650801,10.267895
United Arab Emirates,23.424076,53.847818
Kosovo,42.6026359,20.902977
Uruguay,-32.522779,-55.765835
Viet Nam,14.058324,108.277199
Azerbaijan,40.143105,47.576927
Madagascar,-18.766947,46.869107
Lesotho,-29.609988,28.233608
Saint Vincent and the Grenadines,12.984305,-61.287228
Plurinational State of Bolivia,-16.290154,-63.58865299999999
Kenya,-0.023559,37.906193
South Korea,35.907757,127.766922
Tajikistan,38.861034,71.276093
Turkey,38.963745,35.243322
Afghanistan,33.93911,67.709953
Bangladesh,23.684994,90.356331
Eritrea,15.179384,39.782334
Solomon Islands,-9.64571,160.156194
India,20.593684,78.96288
Saint Lucia,13.909444,-60.978893
San Marino,43.94236,12.457777
Tonga,-21.178986,-175.198242
Mongolia,46.862496,103.846656
France,46.227638,2.213749
Syrian Arab Republic,34.80207499999999,38.996815
Rwanda,-1.940278,29.873888
Slovakia,48.669026,19.699024
Somalia,5.152149,46.199616
Peru,-9.189967,-75.015152
Laos,19.85627,102.495496
Nauru,-0.522778,166.931503
Norway,60.47202399999999,8.468945999999999
Malawi,-13.254308,34.301525
Benin,9.30769,2.315834
Federated States of Micronesia,7.425554,150.550812
Cuba,21.521757,-77.781167
United States of America,37.09024,-95.712891
Republic of the Congo,-0.228021,15.827659
Togo,8.619543,0.824782
China,35.86166,104.195397
Armenia,40.069099,45.038189
Antigua and Barbuda,17.060816,-61.796428
Dominican Republic,18.735693,-70.162651
Ukraine,48.379433,31.1655799
Bahrain,26.0667,50.5577
The Netherlands,52.132633,5.291265999999999
Indonesia,-0.789275,113.921327
Libya,26.3351,17.228331
Finland,61.92410999999999,25.7481511
Central African Republic,6.611110999999999,20.939444
Mauritius,-20.348404,57.55215200000001
Burundi,-3.373056,29.918886
Liechtenstein,47.166,9.555373
Vietnam,14.058324,108.277199
Macedonia,41.608635,21.745275
Mali,17.570692,-3.996166
Vatican City,41.902916,12.453389
Poland,51.919438,19.145136
Russia,61.52401,105.318756
Bulgaria,42.733883,25.48583
United States,37.09024,-95.712891
Romania,45.943161,24.96676
Angola,-11.202692,17.873887
Chad,15.454166,18.732207
South Africa,-30.559482,22.937506
Fiji,-17.713371,178.065032
Sweden,60.12816100000001,18.643501
Malaysia,4.210484,101.975766
Austria,47.516231,14.550072
Mozambique,-18.665695,35.529562
Uganda,1.373333,32.290275
St. Kitts & Nevis,17.357822,-62.782998
Hungary,47.162494,19.5033041
Niger,17.607789,8.081666
Brazil,-14.235004,-51.92528
Kuwait,29.31166,47.481766
Panama,8.537981,-80.782127
Republic of Moldova,47.411631,28.369885
Costa Rica,9.748916999999999,-83.753428
Luxembourg,49.815273,6.129582999999999
Bahamas,25.03428,-77.39627999999999
The Bahamas,25.03428,-77.39627999999999
Ivory Coast,7.539988999999999,-5.547079999999999
Italy,41.87194,12.56738
Nigeria,9.081999,8.675277
Ecuador,-1.831239,-78.18340599999999
Czech Republic,49.81749199999999,15.472962
Brunei,4.535277,114.727669
Belarus,53.709807,27.953389
Iran,32.427908,53.688046
Algeria,28.033886,1.659626
El Salvador,13.794185,-88.89653
Tuvalu,-7.109534999999999,177.64933
Marshall Islands,7.131474,171.184478
Chile,-35.675147,-71.542969
Belgium,50.503887,4.469936
Kiribati,-3.370417,-168.734039
Haiti,18.971187,-72.285215
Iraq,33.223191,43.679291
Hong Kong,22.396428,114.109497
Sierra Leone,8.460555,-11.779889
Lao People's Democratic Republic,19.85627,102.495496
Denmark,56.26392,9.501785
Philippines,12.879721,121.774017
Guinea Bissau,11.803749,-15.180413
Namibia,-22.95764,18.49041
Moldova,47.411631,28.369885
Morocco,31.791702,-7.092619999999999
Croatia,45.1,15.2000001
Malta,35.937496,14.375416
Guinea-Bissau,11.803749,-15.180413
United Republic of Tanzania,-6.369028,34.888822
Switzerland,46.818188,8.227511999999999
Grenada,12.1165,-61.67899999999999
Seychelles,-4.679574,55.491977
Portugal,39.39987199999999,-8.224454
Estonia,58.595272,25.0136071
Republic of The Gambia,13.443182,-15.310139
Mexico,23.634501,-102.552784
Lebanon,33.854721,35.862285
Georgia (Country of),42.315407,43.35689199999999
Uzbekistan,41.377491,64.585262
Egypt,26.820553,30.802498
Djibouti,11.825138,42.590275
Republic of Korea,35.907757,127.766922
Spain,40.46366700000001,-3.74922
Colombia,4.570868,-74.297333
Germany / West Germany,51.2562128,7.150763599999999
Taiwan,23.69781,120.960515
Cyprus,35.126413,33.429859
Barbados,13.193887,-59.543198
Qatar,25.354826,51.183884
Palau,7.514979999999999,134.58252
Bhutan,27.514162,90.433601
Sudan,12.862807,30.217636
Serbia,44.016521,21.005859
Nepal,28.394857,84.12400799999999
Micronesia,7.425554,150.550812
Brunei Darussalam,4.535277,114.727669
Democratic Republic of the Congo,-4.038333,21.758664
Netherlands,52.132633,5.291265999999999
Suriname,3.919305,-56.027783
United Kingdom of Great Britain and Northern Ireland,55.378051,-3.435973
Kingdom of the Netherlands,52.0909267,4.3044383
Venezuela,6.42375,-66.58973
Thailand,15.870032,100.992541
The former Yugoslav Republic of Macedonia,41.608635,21.745275
Israel,31.046051,34.851612
Iceland,64.963051,-19.020835
Zambia,-13.133897,27.849332
Senegal,14.497401,-14.452362
Papua New Guinea,-6.314992999999999,143.95555
Zimbabwe,-19.015438,29.154857
Germany,51.165691,10.451526
Vanuatu,-15.376706,166.959158
Gambia,13.443182,-15.310139
Kazakhstan,48.019573,66.923684
Cote D'Ivoire,7.539988999999999,-5.547079999999999
Russia / Soviet Union,55.6593033,39.848882
Mauritania,21.00789,-10.940835
Ireland,53.1423672,-7.692053599999999
Andorra,42.506285,1.521801
North Korea,40.339852,127.510093
Trinidad and Tobago,10.691803,-61.222503
Latvia,56.879635,24.603189
South Sudan,6.876991899999999,31.3069788
Guyana,4.860416,-58.93018
Syria,34.80207499999999,38.996815
Burma,21.916221,95.955974
Honduras,15.199999,-86.241905
Myanmar,21.916221,95.955974
Germany / Nazi Germany / West Germany,49.43392799999999,11.1126686
Tunisia,33.886917,9.537499
Nicaragua,12.865416,-85.207229
Singapore,1.352083,103.819836
Democratic People's Republic of Korea,40.339852,127.510093
Comoros,-11.6455,43.3333
United Kingdom,55.378051,-3.435973
Antarctica,-82.862752,135
Islamic Republic of Iran,32.427908,53.688046
Greece,39.074208,21.824312
Sri Lanka,7.873053999999999,80.77179699999999
Timor-Leste,-8.874217,125.727539
Botswana,-22.328474,24.684866
